"Date","Volume","Cash","Trades","Bar Size","High","Low","Open","Close","Delta T/D","Delta Aggressor","H/L Side","O/C Side","O/C Size","Max Volume","M/V Price","M/V Trades","M/V Delta T/D","M/V Delta Aggressor","Max Trade","Hidden Volume","TPO High","TPO Low","COT High","COT Low","Max Delta T/D","Max Delta Aggressor"
"2020-07-01 00:00:00","773720767","247676033580","4572159","222","328,5","306,4","308,7","326,4","-11485355","-16127653","1","1","177","14217460","321,8","73036","-2564558","-3038566","0","1045115814","327,1","316,7","-11783451","-16215666","-2564558","-3038566"
"2020-06-01 00:00:00","943879112","291965181079","5155111","281","323,4","295,4","305,3","308,3","-4082692","-6125768","-1","1","30","9334087","311,4","50201","-257683","-418479","0","1182984726","314","302","-8568700","-6683905","-2000301","2479883"
"2020-05-01 00:00:00","1502025115","435442044446","7978087","305","306,8","276,4","284,3","306,1","-12769091","-23194209","1","1","218","21407026","295,1","90517","-5219716","-5003092","0","1733847507","297,8","282,6","-960017","-11058950","-6203878","-7073146"
"2020-04-01 00:00:00","2394402873","658445873394","14610732","540","296,8","242,9","250,3","287,7","-46457183","-51097431","1","1","374","18959466","279,1","92816","-3007730","-3359818","0","2768799895","288,2","267,2","-494126","-40793409","7662006","7533876"
"2020-03-01 00:00:00","1874994192","491255079966","8726825","956","313,8","218,3","296,5","260,6","53347594","71299058","-1","-1","359","18107240","248,1","9387","15671122","15774998","0","2900808226","275,5","218,4","66574963","190031","15671122","15774998"
"2020-02-01 00:00:00","714812777","228618800940","3170944","540","339,4","285,5","323,9","298,9","-23211225","-169888051","-1","-1","250","11755432","336,9","48994","1027158","922632","0","1102635123","339,3","312,6","-17382726","104625","-5844502","-6771118"
"2020-01-01 00:00:00","652656836","213598589305","2653589","158","333","317,3","322,9","321,9","-18622708","-224668256","1","-1","10","18467067","331,3","48697","6720993","5005423","0","925668715","332,7","324,8","-189169298","-212851552","6720993","-6506634"
"2019-12-01 00:00:00","444449337","140928791294","1759330","171","324,1","307,1","315,3","322,4","-16611173","-70088865","1","1","71","19194921","321,2","54999","-6277039","-8308347","0","747857683","323,6","314,3","-8110633","-66900649","-6277039","-8962954"
"2019-11-01 00:00:00","569364450","176180006828","2171817","124","315,6","303,3","303,8","314,5","12428362","7160278","1","1","107","18254077","309","55474","4862413","5650319","0","272225947","311,6","306,8","-4838478","7128260","11554667","10347407"
"2019-10-01 00:00:00","985278782","291441283512","4382345","204","305,1","284,8","297,8","303,3","-20621354","12741310","1","1","55","16057091","291,3","24335","10350045","10486953","0","0","299,3","286,8","5215631","14027959","10350045","10486953"
"2019-09-01 00:00:00","880794626","262321399754","3627034","135","302,7","289,3","290","296,8","-4809414","15511668","1","1","68","26911372","297,6","61220","12604204","10325678","0","0","300,3","295","10139701","14828600","12604204","10325678"
"2019-08-01 00:00:00","1493627530","431805133330","6112426","236","300,9","277,4","297,8","292,5","-23746072","-10476344","-1","-1","53","41430487","292,5","160263","-1854835","-121247","0","0","293,7","285,4","-10621816","24497436","-14566875","-13428119"
"2019-07-01 00:00:00","925565546","276300956076","3894884","111","302,2","291,2","296,3","297,4","41001656","56955574","1","1","11","34138726","298,8","104091","3229224","3305232","0","0","300,9","296,9","13610787","44441207","13890794","10011996"
"2019-06-01 00:00:00","1234566561","356180519917","5566928","234","296,4","273,1","273,7","293","-15888587","-17849737","1","1","193","31991606","290,8","52448","-12965092","-5078860","0","0","296,2","288,1","-3227854","-15442903","19188511","16323307"
"2019-05-01 00:00:00","1719379073","490395516164","8380718","205","295,4","275","295,4","275,3","-62339477","-49189667","-1","-1","201","44013025","292,8","29962","30813467","30725129","0","0","294,8","282,7","-49189219","-2231767","30813467","30725129"
